transect,date,start.lat,start.long,end.lat,end.long,num.H,num.D,incidence,elevation,dist.to.nearest.pop
RG,6/30/21,38.99016,-107.00724,38.99051,-107.00714,5,1,1,,
RG,6/30/21,38.99063,-107.00717,38.99087,-107.00719,8,0,0,,
RG,6/30/21,38.99106,-107.00725,38.9915,-107.00713,10,1,1,,
RG,6/30/21,39.00321,-107.00224,39.00333,-107.00215,8,0,0,,
RG,6/30/21,39.00473,-107.00134,39.00487,-107.0012,10,0,0,,
RG,6/30/21,39.00489,-107.00119,39.00503,-107.00107,19,1,1,,
RG,6/30/21,39.00626,-107.00055,39.00649,-107.00046,9,0,0,,
RG,6/30/21,39.00683,-107.00001,39.00705,-106.99996,6,0,0,,
RG,6/30/21,39.01468,-107.0002,39.01492,-107.00036,42,0,0,,
RG,6/30/21,39.0217,-106.9788,39.02172,-106.97866,6,0,0,,
RG,6/30/21,39.02163,-106.97808,39.02161,-106.97799,4,3,1,,
TR,7/3/21,38.99101,-107.07119,38.991,-107.07151,32,0,1,,
TR,7/3/21,38.99096,-107.07183,38.991,-107.072,5,0,0,,
WM,7/4/21,39.02566,-107.04691,39.02579,-107.04682,9,0,0,,
WM,7/4/21,39.02576,-107.04656,39.02577,-107.04604,16,0,0,,
WM,7/4/21,39.02587,-107.04608,39.02605,-107.04609,9,0,0,,
WM,7/4/21,39.02646,-107.04613,39.02644,-107.04598,5,0,0,,
WM,7/4/21,39.02705,-107.04201,39.02713,-107.04167,22,0,0,,
WM,7/4/21,39.02727,-107.04121,39.02766,-107.04046,30,0,0,,
WM,7/4/21,39.02767,-107.04046,39.02795,-107.04002,26,0,1,,
WM,7/4/21,39.02796,-107.04,39.02825,-107.03944,20,0,1,,
WM,7/4/21,39.02835,-107.03923,39.02837,-107.03898,14,0,0,,
WM,7/4/21,39.0285,-107.03869,39.02881,-107.03803,11,1,1,,
WM,7/4/21,39.02897,-107.03782,39.02957,-107.03716,116,1,1,,
WM,7/4/21,39.0296,-107.03696,39.02973,-107.03674,42,0,0,,
WM,7/4/21,39.02979,-107.03669,39.0299,-107.03647,13,1,1,,
WM,7/4/21,39.02995,-107.03634,39.03032,-107.03581,22,0,1,,
WM,7/4/21,39.03063,-107.03537,39.03067,-107.03523,15,0,0,,
WM,7/4/21,39.03255,-107.03187,39.03262,-107.0316,15,0,0,,
WM,7/4/21,39.03261,-107.03157,39.03287,-107.03091,31,0,0,,
WM,7/4/21,39.0408,-107.02335,39.04112,-107.02322,36,0,0,,
WM,7/4/21,39.04228,-107.02179,39.0424,-107.02163,22,0,0,,
GL,7/1/21,38.856076,-107.012813,38.855976,-107.012796,9,0,0,,
GL,7/1/21,38.850404,-107.016737,38.85032,-107.016844,28,0,0,,
GL,7/1/21,38.848283,-107.027593,38.848222,-107.028073,6,0,0,,
NP,7/8/21,39.03067,-107.08289,39.0307,-107.08326,11,3,1,,
NP,7/8/21,39.03051,-107.08396,39.03048,-107.08438,30,0,1,,
NP,7/8/21,39.02992,-107.08595,39.02984,-107.08615,5,0,0,,
NP,7/8/21,39.02957,-107.08646,39.0293,-107.08683,6,0,1,,
NP,7/8/21,39.02922,-107.08694,39.02877,-107.08737,22,0,1,,
NP,7/8/21,39.02872,-107.08738,39.02848,-107.08751,52,0,0,,
NP,7/8/21,39.02825,-107.08762,39.02805,-107.08775,22,3,1,,
OBJ,7/14/21,38.91026,-107.0364,38.9102,-107.03659,71,0,0,,
OBJ,7/14/21,38.90871,-107.03965,38.90858,-107.03976,36,0,0,,
OBJ,7/14/21,38.90854,-107.04023,38.90853,-107.04049,17,0,0,,
OBJ,7/14/21,38.90846,-107.04075,38.90843,-107.04096,31,0,0,,
OBJ,7/14/21,38.90848,-107.04106,38.90845,-107.04145,43,0,0,,
OBJ,7/14/21,38.90848,-107.0416,38.90854,-107.04186,21,0,0,,
OBJ,7/14/21,38.9069,-107.05223,38.9068,-107.05239,61,0,0,,
OBJ,7/14/21,38.90677,-107.0525,38.90673,-107.05267,6,0,0,,
OBJ,7/14/21,38.90812,-107.058,38.9083,-107.05817,22,0,0,,
OBJ,7/14/21,38.90899,-107.05996,38.90908,-107.0602,18,0,0,,
BG,7/16/21,38.85907,-106.97388,38.85911,-106.97407,17,2,1,,
BG,7/16/21,38.85672,-106.97349,38.85654,-106.97328,25,0,0,,
BG,7/16/21,38.8551,-106.97262,38.85485,-106.97267,24,0,0,,
BG,7/16/21,38.85483,-106.97266,38.85466,-106.9725,23,0,0,,
BG,7/16/21,38.85458,-106.97246,38.85442,-106.97234,15,0,0,,
BG,7/16/21,38.85446,-106.97248,38.85444,-106.97264,26,0,0,,
BG,7/16/21,38.85296,-106.97233,38.85383,-106.9723,14,0,0,,
BG,7/16/21,38.85207,-106.97222,38.85193,-106.97216,23,0,0,,
BG,7/16/21,38.85166,-106.97221,38.85055,-106.9722,9,0,0,,
BG,7/16/21,38.84876,-106.97631,38.84868,-106.97629,17,0,0,,
BG,7/16/21,38.84844,-106.97636,38.84839,-106.97628,6,0,0,,
BG,7/16/21,38.84842,-106.97615,38.84844,-106.97591,32,0,0,,
BG,7/16/21,38.8453,-106.98313,38.84538,-106.98304,9,2,1,,
BG,7/16/21,38.83795,-106.98995,38.83736,-106.99018,6,0,0,,
BG,7/16/21,38.83735,-106.99018,38.83718,-106.99068,17,0,0,,
BG,7/16/21,38.83661,-106.99262,38.83677,-106.99271,21,0,0,,
CM,7/18/21,38.99739,-107.06829,38.99738,-107.06861,103,0,0,,
