transect,date,start.lat,start.long,end.lat,end.long,num.H,num.D,incidence,elevation,dist.to.nearest.pop
RG,6/30/21,38.99016,-107.00724,38.99051,-107.00714,5,1,1,,
RG,6/30/21,38.99063,-107.00717,38.99087,-107.00719,8,0,0,,
RG,6/30/21,38.99106,-107.00725,38.9915,-107.00713,10,1,1,,
RG,6/30/21,39.00321,-107.00224,39.00333,-107.00215,8,0,0,,
RG,6/30/21,39.00473,-107.00134,39.00487,-107.0012,10,0,0,,
RG,6/30/21,39.00489,-107.00119,39.00503,-107.00107,19,1,1,,
RG,6/30/21,39.00626,-107.00055,39.00649,-107.00046,9,0,0,,
RG,6/30/21,39.00683,-107.00001,39.00705,-106.99996,6,0,0,,
RG,6/30/21,39.01468,-107.0002,39.01492,-107.00036,42,0,0,,
RG,6/30/21,39.0217,-106.9788,39.02172,-106.97866,6,0,0,,
RG,6/30/21,39.02163,-106.97808,39.02161,-106.97799,4,3,1,,
TR,7/3/21,38.99101,-107.07119,38.991,-107.07151,32,0,1,,
TR,7/3/21,38.99096,-107.07183,38.991,-107.02,5,0,0,,
WM,7/4/21,39.02566,-107.04691,39.02579,-107.04682,9,0,0,,
WM,7/4/21,39.02576,-107.04656,39.02577,-107.04604,16,0,0,,
WM,7/4/21,39.02587,-107.04608,39.02605,-107.04609,9,0,0,,
WM,7/4/21,39.02646,-107.04613,39.02644,-107.04598,5,0,0,,
WM,7/4/21,39.02705,-107.04201,39.02713,-107.04167,22,0,0,,
WM,7/4/21,39.02727,-10704121,39.02766,-107.04646,30,0,0,,
WM,7/4/21,39.02767,-107.04046,39.02795,-107.04002,26,0,1,,
WM,7/4/21,39.02796,-107.04,39.02825,-107.03944,20,0,1,,
WM,7/4/21,39.02835,-107.03923,39.02837,-107.03898,14,0,0,,
WM,7/4/21,39.0285,-107.03869,39.02881,-107.03803,11,1,1,,
WM,7/4/21,39.02897,-107.03782,39.02957,-107.03716,116,1,1,,
WM,7/4/21,39.0296,-107.03696,39.02973,-107.03674,42,0,0,,
WM,7/4/21,39.02979,-107.03669,39.0299,-107.03647,13,1,1,,
WM,7/4/21,39.02995,-107.03634,39.03032,-107.03581,22,0,1,,
WM,7/4/21,39.03063,-107.03537,39.03067,-107.03523,15,0,0,,
WM,7/4/21,39.03255,-107.03187,39.03262,-107.0316,15,0,0,,
WM,7/4/21,39.03261,-107.03157,39.03287,-107.03091,31,0,0,,
WM,7/4/21,39.0408,-107.02335,39.04112,-107.02322,36,0,0,,
WM,7/4/21,39.04228,-107.02179,39.0424,-107.02163,22,0,0,,
